Epoch	Training Loss	Training Accuracy	Validation Loss	Validation Accuracy
1	1.6866306066513062	0.3754415512084961	1.6399427652359009	0.36219432950019836
2	1.6427768468856812	0.3792133033275604	1.6309210062026978	0.36219432950019836
3	1.6351172924041748	0.3808896541595459	1.6378087997436523	0.36219432950019836
4	1.6344096660614014	0.38651740550994873	1.6396069526672363	0.36219432950019836
5	1.6255145072937012	0.38256600499153137	1.6485720872879028	0.36219432950019836
6	1.6179698705673218	0.3873555660247803	1.6330333948135376	0.36219432950019836
7	1.6074103116989136	0.3894509971141815	1.6284507513046265	0.36219432950019836
8	1.5947843790054321	0.38645753264427185	1.6352537870407104	0.36219432950019836
9	1.571292519569397	0.39346224069595337	1.6557031869888306	0.36153337359428406
10	1.5281031131744385	0.4054960310459137	1.6526603698730469	0.36549901962280273
11	1.462079405784607	0.4281865656375885	1.6502559185028076	0.36021149158477783
12	1.3710002899169922	0.4652457535266876	1.7418323755264282	0.36021149158477783
13	1.239343285560608	0.5118242502212524	1.798269271850586	0.377395898103714
14	1.0887283086776733	0.5747470259666443	1.8263940811157227	0.38136154413223267
15	0.9454963207244873	0.6355145573616028	2.022001266479492	0.3641771376132965
16	0.7962079048156738	0.695503830909729	2.3520236015319824	0.37607401609420776
17	0.6932881474494934	0.7373525500297546	2.5474274158477783	0.36549901962280273
18	0.5892642736434937	0.7780638337135315	2.704256534576416	0.3721083998680115
19	0.5054080486297607	0.8114709854125977	3.5641701221466064	0.3780568540096283
20	0.45020636916160583	0.8320661187171936	3.592172145843506	0.3648380637168884
